#nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
4,1,  1,0.034,0.060,0.045,0.000,0.000,0.000,0.022,0.022,0.022,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.062,4.233,4.158,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.349,1.490,1.446,0.000,0.000,0.000,0.000,0.000,0.000
4,2,  1,0.012,0.025,0.021,0.000,0.000,0.000,0.031,0.243,0.085,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.169,1.434,1.283,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,2.443,2.493,2.471,0.000,0.000,0.000,0.000,0.000,0.000
4,3,  1,0.009,0.028,0.016,0.000,0.000,0.000,0.008,0.010,0.008,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.118,1.338,1.222,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.998,2.389,2.178,0.000,0.000,0.000,0.000,0.000,0.000
4,4,  1,0.001,0.034,0.009,0.000,0.000,0.000,0.008,0.013,0.011,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.177,1.219,1.197,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.699,1.941,1.820,0.000,0.000,0.000,0.000,0.000,0.000
4,5,  1,0.002,0.017,0.011,0.000,0.000,0.000,0.244,0.245,0.244,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.035,1.431,1.150,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.078,6.011,5.457,0.000,0.000,0.000,0.000,0.000,0.000
4,6,  1,0.002,0.023,0.009,0.000,0.000,0.000,0.012,0.434,0.276,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.072,1.155,1.118,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,5.346,6.861,6.025,0.000,0.000,0.000,0.000,0.000,0.000
4,7,  1,0.002,0.019,0.012,0.000,0.000,0.000,0.007,0.011,0.010,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.062,1.166,1.108,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,2.069,2.330,2.256,0.000,0.000,0.000,0.000,0.000,0.000
4,8,  1,0.001,0.050,0.024,0.000,0.000,0.000,0.006,0.223,0.115,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.014,1.197,1.122,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.984,2.368,2.171,0.000,0.000,0.000,0.000,0.000,0.000
4,9,  1,0.002,0.021,0.006,0.000,0.000,0.000,0.006,0.017,0.011,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.049,1.122,1.098,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,1.944,2.361,2.198,0.000,0.000,0.000,0.000,0.000,0.000
4,10,  1,0.015,0.065,0.029,0.000,0.000,0.000,0.014,0.017,0.016,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.441,1.744,1.535,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,3.140,3.967,3.630,0.000,0.000,0.000,0.000,0.000,0.000
