#nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
56,1,  1,0.012,0.290,0.103,0.000,0.000,0.000,0.029,0.068,0.049,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,7.691,12.595,10.921,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.008,0.006,0.000,0.000,0.000,0.000,0.000,0.000,3.233,8.077,6.064,0.000,0.000,0.000,0.000,0.000,0.000
56,2,  1,0.001,0.221,0.029,0.000,0.000,0.000,0.037,0.830,0.323,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,8.550,12.660,10.923,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,3.403,22.709,8.295,0.000,0.000,0.000,0.000,0.000,0.000
56,3,  1,0.012,0.363,0.056,0.000,0.000,0.000,0.273,0.991,0.574,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,9.094,13.389,11.407,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,9.530,32.383,17.718,0.000,0.000,0.000,0.000,0.000,0.000
56,4,  1,0.011,0.326,0.048,0.000,0.000,0.000,0.136,1.332,0.243,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,8.743,17.030,12.711,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,2.998,18.439,9.431,0.000,0.000,0.000,0.000,0.000,0.000
56,5,  1,0.011,0.068,0.023,0.000,0.000,0.000,0.140,1.851,0.448,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,7.463,12.667,10.463,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,3.056,11.359,7.060,0.000,0.000,0.000,0.000,0.000,0.000
56,6,  1,0.012,0.242,0.033,0.000,0.000,0.000,0.157,0.986,0.553,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,9.052,15.799,12.179,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,3.439,17.898,10.530,0.000,0.000,0.000,0.000,0.000,0.000
56,7,  1,0.013,0.209,0.037,0.000,0.000,0.000,0.099,1.780,0.753,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,9.232,15.505,12.986,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,4.378,21.530,10.756,0.000,0.000,0.000,0.000,0.000,0.000
56,8,  1,0.010,0.219,0.035,0.000,0.000,0.000,0.104,2.739,0.646,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,9.653,21.509,13.706,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,2.867,11.934,7.096,0.000,0.000,0.000,0.000,0.000,0.000
56,9,  1,0.013,0.229,0.036,0.000,0.000,0.000,0.136,0.996,0.610,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,8.809,14.298,11.243,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,10.124,26.081,14.349,0.000,0.000,0.000,0.000,0.000,0.000
56,10,  1,0.013,0.243,0.041,0.000,0.000,0.000,0.143,0.833,0.389,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,9.514,17.943,13.902,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,3.144,14.255,8.345,0.000,0.000,0.000,0.000,0.000,0.000
