#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,448,1,  1,0.000,0.000,0.000,0.054,0.502,0.180,0.000,0.000,0.000,0.008,0.831,0.631,0.000,0.000,0.000,0.005,0.009,0.007,0.000,0.001,0.000,0.000,0.000,0.000,56.031,89.953,77.963,8.127,11.832,9.882,0.000,0.000,0.000,0.011,0.019,0.015,0.000,0.000,0.000,0.000,0.000,0.000,35.084,170.960,103.261,8.846,11.485,10.424
packed,448,2,  1,0.000,0.000,0.000,0.001,0.328,0.098,0.000,0.000,0.000,0.229,2.925,2.208,0.000,0.000,0.000,0.003,0.061,0.004,0.000,0.001,0.000,0.000,0.000,0.000,63.393,90.873,83.321,7.906,11.165,9.628,0.000,0.000,0.000,0.004,0.005,0.004,0.000,0.000,0.000,0.000,0.000,0.000,33.524,123.149,81.805,8.513,11.522,10.442
packed,448,3,  1,0.000,0.000,0.000,0.001,0.356,0.083,0.000,0.000,0.000,0.194,3.372,2.644,0.000,0.000,0.000,0.003,0.063,0.004,0.000,0.001,0.000,0.000,0.000,0.000,67.091,90.993,83.653,8.197,11.422,9.685,0.000,0.000,0.000,0.004,0.007,0.005,0.000,0.000,0.000,0.000,0.000,0.000,30.346,187.581,110.006,8.691,12.485,10.622
packed,448,4,  1,0.000,0.000,0.000,0.001,0.613,0.100,0.000,0.000,0.000,0.144,3.119,2.106,0.000,0.000,0.000,0.003,0.069,0.004,0.000,0.000,0.000,0.000,0.000,0.000,66.098,88.198,81.218,7.941,11.864,9.692,0.000,0.000,0.000,0.004,0.014,0.007,0.000,0.000,0.000,0.000,0.000,0.000,31.624,130.238,83.925,8.409,11.660,10.608
packed,448,5,  1,0.000,0.000,0.000,0.001,0.367,0.090,0.000,0.000,0.000,0.476,2.891,2.443,0.000,0.000,0.000,0.003,0.047,0.004,0.000,0.001,0.000,0.000,0.000,0.000,61.573,87.508,79.983,8.041,12.015,9.741,0.000,0.000,0.000,0.004,0.005,0.004,0.000,0.000,0.000,0.000,0.000,0.000,32.102,109.943,74.063,8.787,11.963,10.640
packed,448,6,  1,0.000,0.000,0.000,0.001,0.272,0.086,0.000,0.000,0.000,0.325,3.582,2.416,0.000,0.000,0.000,0.003,0.084,0.004,0.000,0.001,0.000,0.000,0.000,0.000,55.346,86.651,78.420,8.092,11.530,9.636,0.000,0.000,0.000,0.004,0.018,0.007,0.000,0.000,0.000,0.000,0.000,0.000,37.903,175.006,106.206,8.836,11.852,10.700
packed,448,7,  1,0.000,0.000,0.000,0.001,0.387,0.086,0.000,0.000,0.000,0.280,3.799,2.603,0.000,0.000,0.000,0.003,0.055,0.004,0.000,0.000,0.000,0.000,0.000,0.000,68.028,86.892,80.154,8.053,11.735,9.705,0.000,0.000,0.000,0.004,0.026,0.012,0.000,0.000,0.000,0.000,0.000,0.000,33.389,103.423,72.717,8.500,11.887,10.547
packed,448,8,  1,0.000,0.000,0.000,0.001,0.384,0.092,0.000,0.000,0.000,0.070,3.079,2.386,0.000,0.000,0.000,0.003,0.061,0.004,0.000,0.000,0.000,0.000,0.000,0.000,59.528,85.087,79.358,8.123,11.309,9.672,0.000,0.000,0.000,0.004,0.028,0.007,0.000,0.000,0.000,0.000,0.000,0.000,36.836,157.777,99.505,8.940,11.824,10.529
packed,448,9,  1,0.000,0.000,0.000,0.001,0.784,0.083,0.000,0.000,0.000,0.065,3.418,2.571,0.000,0.000,0.000,0.003,0.049,0.004,0.000,0.001,0.000,0.000,0.000,0.000,65.204,86.900,80.886,7.907,10.988,9.510,0.000,0.000,0.000,0.004,0.011,0.006,0.000,0.000,0.000,0.000,0.000,0.000,39.209,194.470,115.910,8.902,12.277,10.579
packed,448,10,  1,0.000,0.000,0.000,0.001,0.354,0.089,0.000,0.000,0.000,0.090,3.276,2.398,0.000,0.000,0.000,0.003,0.057,0.004,0.000,0.000,0.000,0.000,0.000,0.000,62.716,95.579,84.077,8.161,11.839,9.681,0.000,0.000,0.000,0.004,0.007,0.004,0.000,0.000,0.000,0.000,0.000,0.000,33.317,104.432,73.529,8.750,11.839,10.423
