#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,4,1,  1,0.000,0.000,0.000,0.063,0.087,0.074,0.000,0.000,0.000,0.002,0.004,0.003,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,3.818,4.675,4.154,0.686,0.700,0.695,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.588,0.618,0.600,0.700,0.702,0.701
packed,4,2,  1,0.000,0.000,0.000,0.012,0.021,0.016,0.000,0.000,0.000,0.010,0.013,0.012,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.979,1.129,1.061,0.690,0.701,0.696,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.659,0.682,0.670,0.696,0.700,0.698
packed,4,3,  1,0.000,0.000,0.000,0.001,0.025,0.009,0.000,0.000,0.000,0.008,0.012,0.010,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.017,1.053,1.035,0.699,0.703,0.701,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.654,0.691,0.673,0.693,0.702,0.698
packed,4,4,  1,0.000,0.000,0.000,0.001,0.015,0.008,0.000,0.000,0.000,0.008,0.013,0.011,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.053,1.124,1.083,0.695,0.701,0.698,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.621,0.675,0.648,0.687,0.699,0.694
packed,4,5,  1,0.000,0.000,0.000,0.001,0.028,0.010,0.000,0.000,0.000,0.009,0.014,0.011,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.952,1.199,1.067,0.690,0.701,0.697,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.583,0.644,0.624,0.690,0.700,0.696
packed,4,6,  1,0.000,0.000,0.000,0.001,0.047,0.019,0.000,0.000,0.000,0.009,0.014,0.012,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.962,1.060,1.021,0.691,0.701,0.696,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.629,0.649,0.640,0.697,0.702,0.700
packed,4,7,  1,0.000,0.000,0.000,0.009,0.025,0.018,0.000,0.000,0.000,0.009,0.012,0.010,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.965,1.545,1.182,0.692,0.699,0.695,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.618,0.652,0.636,0.685,0.700,0.694
packed,4,8,  1,0.000,0.000,0.000,0.014,0.221,0.067,0.000,0.000,0.000,0.008,0.016,0.012,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.028,1.098,1.063,0.691,0.701,0.697,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.632,0.665,0.644,0.694,0.700,0.697
packed,4,9,  1,0.000,0.000,0.000,0.013,0.015,0.013,0.000,0.000,0.000,0.007,0.014,0.010,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.987,1.149,1.043,0.690,0.699,0.695,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.611,0.644,0.627,0.684,0.698,0.692
packed,4,10,  1,0.000,0.000,0.000,0.009,0.019,0.014,0.000,0.000,0.000,0.009,0.014,0.012,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.946,1.138,1.050,0.702,0.705,0.704,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.645,0.703,0.674,0.696,0.702,0.700
