#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,64,1,  1,0.000,0.000,0.000,0.027,0.285,0.098,0.000,0.000,0.000,0.008,0.051,0.030,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,53.726,81.323,77.782,10.069,10.343,10.274,0.216,0.216,0.216,0.000,0.000,0.000,0.000,0.000,0.000,93.454,102.247,99.984,0.000,0.000,0.000,10.162,10.335,10.276
packed,64,2,  1,0.000,0.000,0.000,0.012,0.793,0.084,0.000,0.000,0.000,4.113,5.245,4.931,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,41.868,84.666,79.242,9.998,10.335,10.261,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,119.219,137.962,134.296,0.000,0.000,0.000,10.167,10.338,10.275
packed,64,3,  1,0.000,0.000,0.000,0.007,0.385,0.103,0.000,0.000,0.000,3.551,4.111,3.972,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,18.371,75.997,62.615,10.138,10.340,10.271,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,186.332,212.429,206.877,0.000,0.000,0.000,10.026,10.341,10.266
packed,64,4,  1,0.000,0.000,0.000,0.015,0.233,0.059,0.000,0.000,0.000,3.749,4.255,4.014,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,28.403,65.381,60.157,10.182,10.338,10.273,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,134.026,176.080,166.385,0.000,0.000,0.000,10.145,10.333,10.281
packed,64,5,  1,0.000,0.000,0.000,0.002,0.253,0.058,0.000,0.000,0.000,0.325,4.895,4.482,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,22.728,180.527,142.675,10.177,10.333,10.272,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,68.422,84.154,79.242,0.000,0.000,0.000,10.142,10.338,10.273
packed,64,6,  1,0.000,0.000,0.000,0.015,0.653,0.081,0.000,0.000,0.000,0.396,1.444,1.124,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,41.761,58.285,51.887,10.113,10.342,10.272,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,48.672,68.164,60.293,0.000,0.000,0.000,10.004,10.343,10.264
packed,64,7,  1,0.000,0.000,0.000,0.002,0.363,0.082,0.000,0.000,0.000,3.734,7.497,6.878,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,62.561,136.837,118.388,9.964,10.339,10.261,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,46.840,54.416,52.769,0.000,0.000,0.000,9.905,10.339,10.260
packed,64,8,  1,0.000,0.000,0.000,0.013,0.373,0.075,0.000,0.000,0.000,1.045,2.006,1.892,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,34.833,65.505,53.958,10.040,10.338,10.266,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,70.967,82.649,77.991,0.000,0.000,0.000,9.997,10.335,10.267
packed,64,9,  1,0.000,0.000,0.000,0.002,0.483,0.092,0.000,0.000,0.000,1.933,2.705,2.585,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,38.460,108.486,91.222,10.132,10.335,10.262,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,137.479,158.556,154.927,0.000,0.000,0.000,10.097,10.334,10.270
packed,64,10,  1,0.000,0.000,0.000,0.001,3.610,0.502,0.000,0.000,0.000,0.380,1.470,1.181,0.000,0.000,0.000,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,52.734,83.473,74.044,10.153,10.338,10.266,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,47.170,51.217,49.990,0.000,0.000,0.000,10.176,10.335,10.276
