#layout,nranks,run,minranksperisland, MIN_para_read_fopen,MAX_para_read_fopen,AVG_para_read_fopen, MIN_seri_read_fopen,MAX_seri_read_fopen,AVG_seri_read_fopen, MIN_para_write_fopen,MAX_para_write_fopen,AVG_para_write_fopen, MIN_seri_write_fopen,MAX_seri_write_fopen,AVG_seri_write_fopen, MIN_para_read_headers,MAX_para_read_headers,AVG_para_read_headers, MIN_seri_read_headers,MAX_seri_read_headers,AVG_seri_read_headers, MIN_distribute_header,MAX_distribute_header,AVG_distribute_header, MIN_para_read_parts,MAX_para_read_parts,AVG_para_read_parts, MIN_seri_read_parts,MAX_seri_read_parts,AVG_seri_read_parts, MIN_distribute_parts,MAX_distribute_parts,AVG_distribute_parts, MIN_para_write_headers,MAX_para_write_headers,AVG_para_write_headers, MIN_seri_write_headers,MAX_seri_write_headers,AVG_seri_write_headers, MIN_gather_header,MAX_gather_header,AVG_gather_header, MIN_para_write_parts,MAX_para_write_parts,AVG_para_write_parts, MIN_seri_write_parts,MAX_seri_write_parts,AVG_seri_write_parts, MIN_gather_parts,MAX_gather_parts,AVG_gather_parts
packed,7,1,  1,0.000,0.000,0.000,0.018,0.028,0.024,0.000,0.000,0.000,0.216,0.236,0.222,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,5.268,6.766,5.819,2.825,3.343,3.122,0.007,0.007,0.007,0.000,0.000,0.000,0.000,0.000,0.000,4.654,5.320,4.994,0.000,0.000,0.000,2.857,3.335,3.130
packed,7,2,  1,0.000,0.000,0.000,0.019,0.045,0.032,0.000,0.000,0.000,0.575,0.582,0.578,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.741,6.131,5.581,2.847,3.337,3.125,0.013,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,2.616,3.150,2.930,0.000,0.000,0.000,2.841,3.331,3.119
packed,7,3,  1,0.000,0.000,0.000,0.019,0.232,0.054,0.000,0.000,0.000,0.593,0.814,0.751,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,5.479,5.591,5.536,2.807,3.331,3.114,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,2.668,3.160,2.974,0.000,0.000,0.000,2.805,3.327,3.111
packed,7,4,  1,0.000,0.000,0.000,0.019,0.029,0.022,0.000,0.000,0.000,0.186,0.208,0.200,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,4.543,5.419,5.199,2.820,3.330,3.112,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,3.288,3.686,3.503,0.000,0.000,0.000,2.813,3.327,3.109
packed,7,5,  1,0.000,0.000,0.000,0.024,0.033,0.028,0.000,0.000,0.000,0.355,0.586,0.513,0.000,0.000,0.000,0.004,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,5.183,5.684,5.444,2.833,3.338,3.121,0.007,0.008,0.007,0.000,0.000,0.000,0.000,0.000,0.000,2.831,3.202,3.043,0.000,0.000,0.000,2.839,3.330,3.120
packed,7,6,  1,0.000,0.000,0.000,0.021,0.033,0.026,0.000,0.000,0.000,0.166,0.176,0.170,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.947,6.312,5.671,2.834,3.338,3.119,0.007,0.007,0.007,0.000,0.000,0.000,0.000,0.000,0.000,2.678,3.213,2.985,0.000,0.000,0.000,2.824,3.332,3.114
packed,7,7,  1,0.000,0.000,0.000,0.023,0.036,0.030,0.000,0.000,0.000,0.192,0.202,0.197,0.000,0.000,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,5.044,6.030,5.795,2.831,3.341,3.126,0.007,0.007,0.007,0.000,0.000,0.000,0.000,0.000,0.000,3.262,3.743,3.529,0.000,0.000,0.000,2.847,3.338,3.125
packed,7,8,  1,0.000,0.000,0.000,0.014,0.020,0.017,0.000,0.000,0.000,0.341,0.573,0.498,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.518,5.838,5.179,2.825,3.336,3.119,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.747,3.030,2.909,0.000,0.000,0.000,2.830,3.331,3.120
packed,7,9,  1,0.000,0.000,0.000,0.001,0.019,0.010,0.000,0.000,0.000,0.178,0.182,0.179,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.112,6.469,5.578,2.812,3.333,3.117,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.934,3.556,3.284,0.000,0.000,0.000,2.852,3.337,3.130
packed,7,10,  1,0.000,0.000,0.000,0.002,0.017,0.011,0.000,0.000,0.000,0.382,0.398,0.393,0.000,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,4.983,5.723,5.304,2.829,3.336,3.125,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,2.861,3.325,3.119,0.000,0.000,0.000,2.841,3.332,3.124
